"term","nbreak","mean","mean.lower","mean.upper","type","N"
"x",3,5.0133097656329,4.98961142721807,5.0613019631059,"unif",500
"x2",3,61.4733277394496,61.2036293778272,62.1586566578426,"unif",500
"x3",3,863.861303990735,847.741555831799,866.901487777129,"unif",500
"rcs.2.same",3,2.31247470671667,2.1807987038102,2.3476981081741,"unif",500
"rcs.3.same",3,1.75105904743615,1.65685821334075,1.80086994021038,"unif",500
"rcs.2.diff",3,6.9376917740318,6.89242136758797,6.98917426138988,"unif",500
"rcs.3.diff",3,2.65309407872945,2.63568038782746,2.6726306937815,"unif",500
