"type","term","mean","N"
"unif","x",0.495283688393887,500
"unif","x2",0.326039969185071,500
"unif","x3",0.243675819764933,500
"unif","rcs.2.same",0.214864296199475,500
"unif","rcs.3.same",0.0488035310915646,500
"unif","rcs.2.diff",0.449576902236732,500
"unif","rcs.3.diff",0.161014441505111,500
"norm","x",5.04344135981488,500
"norm","x2",29.4714744237376,500
"norm","x3",188.321268427102,500
"norm","rcs.2.same",1.70039011619119,500
"norm","rcs.3.same",0.148428014091392,500
"norm","rcs.2.diff",6.87198011251142,500
"norm","rcs.3.diff",2.62929177654762,500
"skew","x",0.8320905769983,500
"skew","x2",0.702694546260043,500
"skew","x3",0.600946691840812,500
"skew","rcs.2.same",0.112394062863357,500
"skew","rcs.3.same",0.00648555436784385,500
"skew","rcs.2.diff",0.899227657736132,500
"skew","rcs.3.diff",0.331614285295009,500
"double","x",8.58980080534367,500
"double","x2",89.9325104375456,500
"double","x3",1053.84770483484,500
"double","rcs.2.same",3.21142542379034,500
"double","rcs.3.same",0.800894571839273,500
"double","rcs.2.diff",11.8910092579646,500
"double","rcs.3.diff",4.55984449279502,500
