"type","term","mean","N"
"unif","x",0.497450503330585,5000
"unif","x2",0.330538072098432,5000
"unif","x3",0.246976218501916,5000
"unif","rcs.2.same",0.237479463848557,5000
"unif","rcs.3.same",0.044186554495255,5000
"unif","rcs.2.diff",0.456837827706468,5000
"unif","rcs.3.diff",0.164004389834285,5000
"norm","x",4.99951731280752,5000
"norm","x2",28.9414021321553,5000
"norm","x3",183.988063305395,5000
"norm","rcs.2.same",1.550915513621,5000
"norm","rcs.3.same",0.179866779294511,5000
"norm","rcs.2.diff",6.8110281519106,5000
"norm","rcs.3.diff",2.60581544307316,5000
"skew","x",0.833777690312088,5000
"skew","x2",0.705998703457353,5000
"skew","x3",0.605642153238319,5000
"skew","rcs.2.same",0.11726894166461,5000
"skew","rcs.3.same",0.00624960613403278,5000
"skew","rcs.2.diff",0.901617794180548,5000
"skew","rcs.3.diff",0.332533703882841,5000
"double","x",8.4761660434026,5000
"double","x2",87.8014697305922,5000
"double","x3",1015.49059944515,5000
"double","rcs.2.same",3.27062233594983,5000
"double","rcs.3.same",0.840093242570133,5000
"double","rcs.2.diff",11.731036241705,5000
"double","rcs.3.diff",4.49832426392923,5000
