"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",50,5.02642322521441,5.02217644160964,5.03087609142077,"norm",1000
"x2",50,29.2696574240902,29.222630169911,29.319569043025,"norm",1000
"x3",50,187.701488242734,187.202285034309,188.208080307784,"norm",1000
"rcs.2.same",50,1.64465761697302,1.63994112482118,1.6493324613138,"norm",1000
"rcs.3.same",50,0.158428673656522,0.157636561642779,0.15923382922867,"norm",1000
"rcs.2.diff",50,6.8445367834425,6.83869659368781,6.85106514670906,"norm",1000
"rcs.3.diff",50,2.6186730249026,2.61642812255462,2.62118075743588,"norm",1000
"x",60,5.02240955682034,5.01888256704688,5.02610769994087,"norm",1000
"x2",60,29.2404113005447,29.2012351265895,29.2821570131605,"norm",1000
"x3",60,187.502345726664,187.088698800223,187.926330052027,"norm",1000
"rcs.2.same",60,1.64345335201842,1.63949006008192,1.64732701071448,"norm",1000
"rcs.3.same",60,0.158412870665346,0.157752929029069,0.159071130078654,"norm",1000
"rcs.2.diff",60,6.83891592520889,6.83405489861316,6.84435110207658,"norm",1000
"rcs.3.diff",60,2.61650727311142,2.61463850909897,2.61859828556965,"norm",1000
"x",70,5.02477098707691,5.02175515524164,5.02793316742635,"norm",1000
"x2",70,29.2654097498439,29.23199622185,29.3008979297297,"norm",1000
"x3",70,187.795461974459,187.439892949202,188.158699160684,"norm",1000
"rcs.2.same",70,1.64550616552166,1.64215632907057,1.6488033508928,"norm",1000
"rcs.3.same",70,0.158917883220737,0.158349873267607,0.15948825578019,"norm",1000
"rcs.2.diff",70,6.84232535561238,6.8381705464271,6.84696678708348,"norm",1000
"rcs.3.diff",70,2.61781581678987,2.61621682365851,2.61960162788699,"norm",1000
"x",80,5.02418010125579,5.02154602028574,5.02694200561164,"norm",1000
"x2",80,29.2502351956627,29.220970017674,29.2813599360603,"norm",1000
"x3",80,187.547227390694,187.236777863733,187.864572142051,"norm",1000
"rcs.2.same",80,1.64345314559893,1.64053149670552,1.6463546210397,"norm",1000
"rcs.3.same",80,0.15835503127257,0.157859620142143,0.158853071655049,"norm",1000
"rcs.2.diff",80,6.84133451476634,6.83770740458668,6.8453894991707,"norm",1000
"rcs.3.diff",80,2.61743230878184,2.61603814465649,2.61899287193981,"norm",1000
"x",90,5.02316468231579,5.02082656549968,5.02561626033952,"norm",1000
"x2",90,29.2411472525056,29.2152361963235,29.2686512971665,"norm",1000
"x3",90,187.511585869713,187.237237422265,187.791610442648,"norm",1000
"rcs.2.same",90,1.64316506766701,1.64060237530201,1.64576192746148,"norm",1000
"rcs.3.same",90,0.158422633186277,0.157986092611146,0.158862548701928,"norm",1000
"rcs.2.diff",90,6.83981581505623,6.83659409425751,6.84341932339336,"norm",1000
"rcs.3.diff",90,2.61685291049138,2.61561370932023,2.61823936055372,"norm",1000
"x",100,5.02435848594961,5.02225654254927,5.02656242982953,"norm",1000
"x2",100,29.2568549264391,29.2336284857087,29.2816366952592,"norm",1000
"x3",100,187.687982495645,187.438912431516,187.94002415379,"norm",1000
"rcs.2.same",100,1.64419544335695,1.64185774873532,1.64648323049702,"norm",1000
"rcs.3.same",100,0.15853472261883,0.158141100304012,0.158927337531964,"norm",1000
"rcs.2.diff",100,6.84156948015056,6.83867274847208,6.84480393517438,"norm",1000
"rcs.3.diff",100,2.61752532848265,2.61641039833379,2.61876974235879,"norm",1000
"x",5,0.830801567332462,0.828355574922358,0.833366255802047,"skew",1000
"x2",5,0.705757241082374,0.701509958334291,0.710205770978143,"skew",1000
"x3",5,0.611199700994444,0.605738587268669,0.617176087224347,"skew",1000
"rcs.2.same",5,0.139115585732022,0.135436671808969,0.142754481624545,"skew",1000
"rcs.3.same",5,0.00844338635140908,0.00803811711167409,0.00886021907578776,"skew",1000
"rcs.2.diff",5,0.897401567111477,0.893936428274438,0.901034974222396,"skew",1000
"rcs.3.diff",5,0.330911845445548,0.329578915684236,0.332309516447183,"skew",1000
