"type","term","mean","N"
"unif","x",0.497549372669915,10000
"unif","x2",0.329740450856423,10000
"unif","x3",0.245950625512872,10000
"unif","rcs.2.same",0.23508157423091,10000
"unif","rcs.3.same",0.0443159770154093,10000
"unif","rcs.2.diff",0.456162912161104,10000
"unif","rcs.3.diff",0.163681930434771,10000
"norm","x",5.00399706066068,10000
"norm","x2",29.0541298901257,10000
"norm","x3",185.360115218973,10000
"norm","rcs.2.same",1.55170364232304,10000
"norm","rcs.3.same",0.182177001898461,10000
"norm","rcs.2.diff",6.81820731712171,10000
"norm","rcs.3.diff",2.60858753135454,10000
"skew","x",0.835654637523816,10000
"skew","x2",0.709078479852774,10000
"skew","x3",0.609452012295562,10000
"skew","rcs.2.same",0.120375765743499,10000
"skew","rcs.3.same",0.00575542893499663,10000
"skew","rcs.2.diff",0.904276770488108,10000
"skew","rcs.3.diff",0.333556526053278,10000
"double","x",8.49820249909017,10000
"double","x2",88.29471765683,10000
"double","x3",1023.76630645753,10000
"double","rcs.2.same",3.35531150647418,10000
"double","rcs.3.same",0.832955780334315,10000
"double","rcs.2.diff",11.7623059832268,10000
"double","rcs.3.diff",4.51035837995174,10000
