"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",5,0.497912564964761,0.495944007753688,0.499779925185552,"unif",5000
"x2",5,0.345102173065803,0.342893526237536,0.347554168456991,"unif",5000
"x3",5,0.268254814747146,0.265710574292437,0.271132597187493,"unif",5000
"rcs.2.same",5,0.251519414200753,0.249319168336769,0.2539629013735,"unif",5000
"rcs.3.same",5,0.048691638630771,0.0480488450602316,0.0493877391820331,"unif",5000
"rcs.2.diff",5,0.467637695617428,0.465381324216614,0.470015390478144,"unif",5000
"rcs.3.diff",5,0.168142989498318,0.167246297756031,0.169037750651123,"unif",5000
"x",10,0.497029919339046,0.496155005023014,0.497859857214954,"unif",5000
"x2",10,0.33371782251774,0.332761897542385,0.334738581091031,"unif",5000
"x3",10,0.251781874293303,0.250667636760159,0.253035506503588,"unif",5000
"rcs.2.same",10,0.240784376884321,0.239859837528805,0.241870115602432,"unif",5000
"rcs.3.same",10,0.0452663551301165,0.0449892018559415,0.0455852643120223,"unif",5000
"rcs.2.diff",10,0.459113380890708,0.458149428506471,0.460167705500573,"unif",5000
"rcs.3.diff",10,0.164912983571421,0.164536911976331,0.165318459308663,"unif",5000
"x",20,0.497184529612312,0.496770096515245,0.497577658079848,"unif",5000
"x2",20,0.331030431023082,0.330580001199857,0.331525864749648,"unif",5000
"x3",20,0.24780612037805,0.247311301635189,0.24840245842105,"unif",5000
"rcs.2.same",20,0.23800649031654,0.237568004897495,0.238526975688911,"unif",5000
"rcs.3.same",20,0.0443684855851278,0.0442410354228402,0.0445140706674846,"unif",5000
"rcs.2.diff",20,0.457045274158098,0.456586560267778,0.457553743193542,"unif",5000
"rcs.3.diff",20,0.164078880389903,0.163903176617696,0.164270591759274,"unif",5000
"x",30,0.497618671125448,0.497347145992884,0.497876238052453,"unif",5000
"x2",30,0.331188756106427,0.330894361848,0.33151044201222,"unif",5000
"x3",30,0.247902519948917,0.2475778942234,0.248292536001885,"unif",5000
"rcs.2.same",30,0.238165709759531,0.237875479424386,0.238509527774708,"unif",5000
"rcs.3.same",30,0.0444095711763475,0.0443257149592129,0.0445055865131704,"unif",5000
"rcs.2.diff",30,0.457329832203265,0.457033787192861,0.457663779098529,"unif",5000
"rcs.3.diff",30,0.164195375080305,0.164079659570161,0.164323510191009,"unif",5000
"x",40,0.497486628819923,0.497284725516222,0.497678152945132,"unif",5000
"x2",40,0.330737859615333,0.330516755782522,0.33097708281098,"unif",5000
"x3",40,0.247306954252767,0.247062081430997,0.247593252095351,"unif",5000
"rcs.2.same",40,0.237691486848319,0.237473088755101,0.237946524545826,"unif",5000
"rcs.3.same",40,0.0442669312199915,0.0442047864101902,0.0443373420195391,"unif",5000
"rcs.2.diff",40,0.456935775048412,0.456717585643998,0.457184427026741,"unif",5000
"rcs.3.diff",40,0.164040579784889,0.16395468196871,0.164135998828222,"unif",5000
"x",50,0.497620699916769,0.497460001368927,0.497773137485814,"unif",5000
"x2",50,0.330775693734422,0.330598450270902,0.330966308860406,"unif",5000
"x3",50,0.247231379436971,0.247039269394053,0.247460830865179,"unif",5000
"rcs.2.same",50,0.23769156058819,0.237517564277927,0.237894646495288,"unif",5000
"rcs.3.same",50,0.0442427873826443,0.0441931481412921,0.0442981090663605,"unif",5000
"rcs.2.diff",50,0.457093242558197,0.456918314128109,0.457291144094615,"unif",5000
"rcs.3.diff",50,0.164099419865934,0.164031287050557,0.164175365603754,"unif",5000
