"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",5,0.499265601525567,0.492769119798595,0.505296063090303,"unif",500
"x2",5,0.345912260313966,0.337991247323272,0.354184653991601,"unif",500
"x3",5,0.271182158279649,0.261930073517952,0.281209049105523,"unif",500
"rcs.2.same",5,0.233958111970416,0.226802199240753,0.242009648159499,"unif",500
"rcs.3.same",5,0.0554967302278278,0.0530827172024952,0.058129089294626,"unif",500
"rcs.2.diff",5,0.465461314835615,0.457575729822286,0.473295273509699,"unif",500
"rcs.3.diff",5,0.167180101437766,0.1641618832229,0.170167800171454,"unif",500
"x",10,0.495863685170818,0.49297635995883,0.4985438903107,"unif",500
"x2",10,0.330684798800495,0.327321769504509,0.334276703665731,"unif",500
"x3",10,0.250529450249048,0.24667879996116,0.254530491925613,"unif",500
"rcs.2.same",10,0.219609170109421,0.216420509169881,0.222913763971751,"unif",500
"rcs.3.same",10,0.0504903985026983,0.0494482551076404,0.0515701088697633,"unif",500
"rcs.2.diff",10,0.453056400648493,0.449673404982783,0.456594984487229,"unif",500
"rcs.3.diff",10,0.162440642230906,0.161138535433986,0.1637964990833,"unif",500
"x",20,0.494536450829753,0.49316877046618,0.495806021685487,"unif",500
"x2",20,0.325413453553342,0.323830134041508,0.32708425937672,"unif",500
"x3",20,0.24306151999331,0.241263356550855,0.244975960492664,"unif",500
"rcs.2.same",20,0.214116182387823,0.212650678761885,0.215665981475978,"unif",500
"rcs.3.same",20,0.0485443467318694,0.0480499966873769,0.0490389493317441,"unif",500
"rcs.2.diff",20,0.448949400219736,0.447371662378175,0.450623456389766,"unif",500
"rcs.3.diff",20,0.160779881263498,0.160177664825809,0.161419877628504,"unif",500
"x",30,0.49570907473179,0.494813008286691,0.496540862533823,"unif",500
"x2",30,0.326903848125546,0.325856213490592,0.327992712064641,"unif",500
"x3",30,0.244921318636511,0.243749818231873,0.24617923440573,"unif",500
"rcs.2.same",30,0.215764205675621,0.214768019037417,0.216785974973509,"unif",500
"rcs.3.same",30,0.0491510187590517,0.0488132310231589,0.0494820242649778,"unif",500
"rcs.2.diff",30,0.450158676882359,0.449098029896326,0.451256634688709,"unif",500
"rcs.3.diff",30,0.161240215282088,0.160848083872825,0.161656404664539,"unif",500
"x",40,0.495358255339454,0.494691949521303,0.495976764217888,"unif",500
"x2",40,0.326249141761474,0.325471918625273,0.327066035277868,"unif",500
"x3",40,0.243989786983184,0.243117190912145,0.24493353420687,"unif",500
"rcs.2.same",40,0.215122802100729,0.21439040419825,0.215879401135463,"unif",500
"rcs.3.same",40,0.0489225862738798,0.0486712008261284,0.0491656962212104,"unif",500
"rcs.2.diff",40,0.449633614830335,0.448853705284114,0.450446672009736,"unif",500
"rcs.3.diff",40,0.161031029531515,0.160744505195685,0.161342801138828,"unif",500
"x",50,0.495436038729793,0.494905713690857,0.495928321306506,"unif",500
"x2",50,0.326363036469896,0.325744731984007,0.327012040490922,"unif",500
"x3",50,0.244084512438976,0.243391838073807,0.244831245524474,"unif",500
"rcs.2.same",50,0.21519901129035,0.214614089116663,0.215802728282652,"unif",500
"rcs.3.same",50,0.0489256276394521,0.0487278802672976,0.0491195924444888,"unif",500
"rcs.2.diff",50,0.44982363326282,0.449198832757319,0.450478069063855,"unif",500
"rcs.3.diff",50,0.161108710485132,0.160880663934575,0.1613601516418,"unif",500
"x",60,0.495216556108795,0.494776116669678,0.495625400960641,"unif",500
"x2",60,0.325978457522712,0.325466253966696,0.326516222255766,"unif",500
"x3",60,0.243660213606164,0.243080309274363,0.244273419463231,"unif",500
"rcs.2.same",60,0.214842089791204,0.214357099232683,0.215340940803307,"unif",500
"rcs.3.same",60,0.0488261053724252,0.0486611427083161,0.0489862067092847,"unif",500
"rcs.2.diff",60,0.449432969069325,0.448916527344722,0.449975734565848,"unif",500
"rcs.3.diff",60,0.160951807256149,0.160761897173278,0.16115956603626,"unif",500
"x",70,0.49523442019166,0.494857812555313,0.495584012166427,"unif",500
"x2",70,0.326056258175284,0.325616672849688,0.326517568723563,"unif",500
"x3",70,0.243740099777223,0.243248461864921,0.244264538858694,"unif",500
"rcs.2.same",70,0.214884748218706,0.214467157597412,0.215309972775582,"unif",500
"rcs.3.same",70,0.0488148897817937,0.0486752952889523,0.0489520484752011,"unif",500
"rcs.2.diff",70,0.449536219751513,0.449094140518596,0.450004852015457,"unif",500
"rcs.3.diff",70,0.160998461422914,0.160835723158605,0.161176538291483,"unif",500
"x",80,0.495298340920831,0.494969405137187,0.495603680746894,"unif",500
"x2",80,0.325948450969261,0.325565974661112,0.326350249329494,"unif",500
"x3",80,0.243525606208169,0.243097436236319,0.24398373932884,"unif",500
"rcs.2.same",80,0.214764616317719,0.21440155614732,0.215137374547293,"unif",500
"rcs.3.same",80,0.0487651938702283,0.0486429010380073,0.0488847229163279,"unif",500
"rcs.2.diff",80,0.449492542259374,0.449105644847464,0.449897383556399,"unif",500
"rcs.3.diff",80,0.160978824998251,0.160836417334694,0.161133406844059,"unif",500
"x",90,0.495235657084023,0.494943680377192,0.49550668906446,"unif",500
"x2",90,0.325945067299148,0.325605276590736,0.326300794342803,"unif",500
"x3",90,0.24354918118964,0.243167517664737,0.24395527397656,"unif",500
"rcs.2.same",90,0.214736651143102,0.214412306591556,0.215067440616788,"unif",500
"rcs.3.same",90,0.0487524750033891,0.0486440245191384,0.0488588230071862,"unif",500
"rcs.2.diff",90,0.449514350231665,0.449172473155362,0.449872111508848,"unif",500
"rcs.3.diff",90,0.160988238761954,0.160862305263183,0.161124407567946,"unif",500
"x",100,0.4951049142907,0.494842430180519,0.495348569303416,"unif",500
"x2",100,0.325893775072329,0.325587695953912,0.326214258418208,"unif",500
"x3",100,0.243541286412722,0.243200108087923,0.243909088015445,"unif",500
"rcs.2.same",100,0.214749495880889,0.214458166477176,0.215044483688201,"unif",500
"rcs.3.same",100,0.0487694240776477,0.0486720011525961,0.0488652196281596,"unif",500
"rcs.2.diff",100,0.449374717446616,0.449066297997808,0.449698769622683,"unif",500
"rcs.3.diff",100,0.160937781415194,0.160824283291938,0.161061565861919,"unif",500
"x",5,5.100127839714,5.02857128962447,5.16655133525442,"norm",500
"x2",5,31.2520458341593,30.4890719761931,32.075939846149,"norm",500
"x3",5,211.979673637791,203.97497801425,220.751424086315,"norm",500
"rcs.2.same",5,1.93744963305993,1.85715657569491,2.01807910621282,"norm",500
"rcs.3.same",5,0.194526735811665,0.180647433470646,0.207585450465363,"norm",500
"rcs.2.diff",5,6.9671264648511,6.8680737096337,7.05992287032723,"norm",500
"rcs.3.diff",5,2.66593841986893,2.62786014451081,2.70164497101608,"norm",500
"x",10,5.03025922550992,4.99845631435902,5.05978077908344,"norm",500
"x2",10,29.6748115740422,29.3293863916635,30.0275491444058,"norm",500
"x3",10,192.12097092238,188.71202344909,195.776923013731,"norm",500
"rcs.2.same",10,1.73738265499668,1.70193631000645,1.77499801010333,"norm",500
"rcs.3.same",10,0.156302712986193,0.150473036722896,0.161923305828812,"norm",500
"rcs.2.diff",10,6.85664397698924,6.81330802050765,6.8977033769308,"norm",500
"rcs.3.diff",10,2.62343119323004,2.60677246907951,2.63922116704257,"norm",500
"x",20,5.04601097923579,5.03094644237483,5.05999487303377,"norm",500
"x2",20,29.5366414384346,29.373890256158,29.7009249887114,"norm",500
"x3",20,189.45042768718,187.849088938647,191.155490984164,"norm",500
"rcs.2.same",20,1.71150782571896,1.69430827236143,1.72921366462057,"norm",500
"rcs.3.same",20,0.151200399701073,0.14854636147419,0.153881934796618,"norm",500
"rcs.2.diff",20,6.87395189641956,6.85339426187409,6.89313482887621,"norm",500
"rcs.3.diff",20,2.63003707824395,2.62212872332156,2.63741908852121,"norm",500
"x",30,5.0410347162033,5.03116484722544,5.05019657765716,"norm",500
"x2",30,29.4568848204722,29.3504195431919,29.566485429142,"norm",500
"x3",30,188.339008368424,187.286550248596,189.461556285044,"norm",500
"rcs.2.same",30,1.70052699912998,1.68915776100616,1.71193819789053,"norm",500
"rcs.3.same",30,0.148688622627232,0.146984773433194,0.150500918389139,"norm",500
"rcs.2.diff",30,6.86814547911397,6.85475038535881,6.88070356916361,"norm",500
"rcs.3.diff",30,2.62780108676034,2.62264948901179,2.6326337877608,"norm",500
"x",40,5.0408674039289,5.03352827058639,5.04768007013817,"norm",500
"x2",40,29.4764812715594,29.39803498709,29.5565895206869,"norm",500
"x3",40,188.498237179901,187.711066448086,189.32791126743,"norm",500
"rcs.2.same",40,1.7026173551167,1.69426134187584,1.71106929772774,"norm",500
