"term","nbin","mean","mean.lower","mean.upper","type","N"
"x",5,0.497937745065683,0.49656927634048,0.499331758982691,"unif",10000
"x2",5,0.344684484022364,0.342959963330881,0.346153213886107,"unif",10000
"x3",5,0.267945630058062,0.265950757963151,0.269876645670151,"unif",10000
"rcs.2.same",5,0.24959077511311,0.247975151339432,0.251181256672958,"unif",10000
"rcs.3.same",5,0.0490143615335421,0.04853953982121,0.0494881596992902,"unif",10000
"rcs.2.diff",5,0.467121857735067,0.465465969709654,0.468675865401083,"unif",10000
"rcs.3.diff",5,0.16790499297796,0.167264373292075,0.168499395057652,"unif",10000
"x",10,0.49765214584043,0.497043937518119,0.498271707581323,"unif",10000
"x2",10,0.333508841681139,0.332748915746361,0.33418987235725,"unif",10000
"x3",10,0.251428987360747,0.250575706176098,0.252275294657045,"unif",10000
"rcs.2.same",10,0.238999295506864,0.238241151898825,0.23967728736925,"unif",10000
"rcs.3.same",10,0.045566160066799,0.0453591097517671,0.0457802975951256,"unif",10000
"rcs.2.diff",10,0.458982056996339,0.458258629336211,0.45969998653073,"unif",10000
"rcs.3.diff",10,0.164796311105876,0.164514302487283,0.1650698515719,"unif",10000
"x",20,0.497384543384779,0.497096444705789,0.497678019998886,"unif",10000
"x2",20,0.330399913248461,0.33004834777055,0.330720159778594,"unif",10000
"x3",20,0.246985162232216,0.246592603725482,0.247379456641109,"unif",10000
"rcs.2.same",20,0.235793954398812,0.235436221450857,0.236130428804497,"unif",10000
"rcs.3.same",20,0.0445520925150592,0.0444527349658023,0.044654947057712,"unif",10000
"rcs.2.diff",20,0.456545816090172,0.456197583523925,0.456893361914924,"unif",10000
"rcs.3.diff",20,0.163829436217191,0.16369563270766,0.163962084902433,"unif",10000
"x",30,0.497677309816321,0.497488555509395,0.497869587597979,"unif",10000
"x2",30,0.33016964905151,0.329938050068666,0.330381682812342,"unif",10000
"x3",30,0.246522539984595,0.246266117610022,0.246778365962607,"unif",10000
"rcs.2.same",30,0.235485819968141,0.23525671001836,0.235706207035707,"unif",10000
"rcs.3.same",30,0.0444405955310576,0.044375193243516,0.0445086535657724,"unif",10000
"rcs.2.diff",30,0.456547768260768,0.456317534581378,0.456772152600581,"unif",10000
"rcs.3.diff",30,0.163826658868053,0.163738637123404,0.16391221363091,"unif",10000
"x",40,0.497494338963708,0.497353983197022,0.497637314750068,"unif",10000
"x2",40,0.329858608566616,0.329688274840635,0.330014394591774,"unif",10000
"x3",40,0.246171914277673,0.245981155703617,0.246364749684921,"unif",10000
"rcs.2.same",40,0.235224092641124,0.235054339352137,0.235389052096063,"unif",10000
"rcs.3.same",40,0.0443742019827704,0.0443263242648928,0.0444240102012319,"unif",10000
"rcs.2.diff",40,0.45620332787938,0.456033274178442,0.456371495213244,"unif",10000
"rcs.3.diff",40,0.16369826222029,0.163633376911907,0.163762182618352,"unif",10000
"x",50,0.497577863042487,0.497466151309818,0.497691660096936,"unif",10000
"x2",50,0.329833800106014,0.329697362144033,0.329959797091724,"unif",10000
"x3",50,0.246069343722089,0.24591820818003,0.246222837683998,"unif",10000
"rcs.2.same",50,0.235161174466888,0.235025964914882,0.235292126055144,"unif",10000
"rcs.3.same",50,0.0443406303415513,0.0443027179738735,0.0443810374592627,"unif",10000
"rcs.2.diff",50,0.456246104527581,0.456109981108703,0.456378285139195,"unif",10000
"rcs.3.diff",50,0.163710235438689,0.163658494224816,0.16376042793577,"unif",10000
"x",60,0.497522918041536,0.497430140500842,0.497617427459637,"unif",10000
"x2",60,0.329730898644093,0.32961761062399,0.32983445432762,"unif",10000
"x3",60,0.245943392554017,0.245818194692404,0.246070698979876,"unif",10000
"rcs.2.same",60,0.235057719892036,0.234946180687148,0.235167370352221,"unif",10000
"rcs.3.same",60,0.0443078107751194,0.0442759664397149,0.0443413672323567,"unif",10000
"rcs.2.diff",60,0.456157024278145,0.456043050030957,0.456266624857562,"unif",10000
"rcs.3.diff",60,0.163679187541841,0.163635954661765,0.163720760852858,"unif",10000
"x",70,0.49747230636237,0.497392974842068,0.497553118763355,"unif",10000
"x2",70,0.329686498699932,0.329590000433749,0.329775676555578,"unif",10000
"x3",70,0.245913083787527,0.245805609270115,0.246021831604116,"unif",10000
"rcs.2.same",70,0.235038022356669,0.234941899157395,0.235130666242002,"unif",10000
"rcs.3.same",70,0.0443092831454839,0.0442824083569294,0.0443382709922994,"unif",10000
"rcs.2.diff",70,0.456088076612667,0.455991594167391,0.456182222869853,"unif",10000
"rcs.3.diff",70,0.163653938332109,0.163617112583729,0.163689680354332,"unif",10000
"x",80,0.497582590670731,0.497513301115022,0.49765317365387,"unif",10000
"x2",80,0.329811836200515,0.329727259487273,0.329889650339856,"unif",10000
"x3",80,0.246039698856499,0.245945698674026,0.246135472689923,"unif",10000
"rcs.2.same",80,0.235150744995473,0.235066830806169,0.235232026741036,"unif",10000
"rcs.3.same",80,0.0443370780798725,0.0443134504193518,0.0443622423780199,"unif",10000
"rcs.2.diff",80,0.45622626693051,0.456141753810917,0.456308026330523,"unif",10000
"rcs.3.diff",80,0.163705392906875,0.163673138003759,0.163736389938767,"unif",10000
"x",90,0.497518672313583,0.497457168101215,0.49758132462446,"unif",10000
"x2",90,0.329718905983851,0.329643559646556,0.329787507900333,"unif",10000
"x3",90,0.245924589587965,0.245841190342533,0.246008828839843,"unif",10000
"rcs.2.same",90,0.235047439189555,0.234973437075939,0.235119830601818,"unif",10000
"rcs.3.same",90,0.0443050508982172,0.0442841860152612,0.0443273475909232,"unif",10000
"rcs.2.diff",90,0.456150125290208,0.456074829581909,0.456222914981543,"unif",10000
"rcs.3.diff",90,0.163675861215623,0.163647249532173,0.163703362260548,"unif",10000
"x",100,0.497563614454727,0.497508322789063,0.497619938249354,"unif",10000
"x2",100,0.329776429151038,0.329709197395116,0.329838548732561,"unif",10000
"x3",100,0.245997123435522,0.245921504518392,0.246072422617151,"unif",10000
"rcs.2.same",100,0.23511607498657,0.235048871006167,0.235180651966923,"unif",10000
"rcs.3.same",100,0.0443270914908977,0.0443082805855734,0.0443471735454811,"unif",10000
"rcs.2.diff",100,0.456193807842701,0.45612629404966,0.456259407617426,"unif",10000
"rcs.3.diff",100,0.163693227179033,0.16366771969497,0.163718034138016,"unif",10000
"x",5,5.00181889336982,4.98076078226537,5.02327009602052,"norm",10000
"x2",5,31.4027419388219,31.1576521683596,31.6213463945238,"norm",10000
"x3",5,220.362442971813,217.791590720169,222.860443943814,"norm",10000
"rcs.2.same",5,1.84608447389358,1.82381508692357,1.86576325027562,"norm",10000
"rcs.3.same",5,0.25105239310003,0.246885999286257,0.254850769170462,"norm",10000
"rcs.2.diff",5,6.84505360625878,6.81682031269483,6.87616348480599,"norm",10000
"rcs.3.diff",5,2.61941585958862,2.60860457335905,2.6313871234512,"norm",10000
"x",10,5.00866452479785,4.99930536430699,5.01819839264262,"norm",10000
"x2",10,29.6060966137424,29.4993987577597,29.7084703574303,"norm",10000
"x3",10,193.523062584723,192.433952704335,194.587499412109,"norm",10000
"rcs.2.same",10,1.62976643330573,1.6193778431352,1.63966474840533,"norm",10000
"rcs.3.same",10,0.200627731400847,0.198659967305967,0.202611404066433,"norm",10000
"rcs.2.diff",10,6.82820741361361,6.81527010932952,6.8418775919877,"norm",10000
"rcs.3.diff",10,2.61249278373596,2.6075107658522,2.61774995143359,"norm",10000
"x",20,5.00328694894358,4.99885366239526,5.00780299160688,"norm",10000
"x2",20,29.1524638544419,29.1007384768916,29.199209075181,"norm",10000
"x3",20,186.882655559493,186.389666083571,187.386525530698,"norm",10000
"rcs.2.same",20,1.56694898674306,1.56187532676693,1.57152995989267,"norm",10000
"rcs.3.same",20,0.185828345608187,0.184897900897525,0.186779157362918,"norm",10000
"rcs.2.diff",20,6.81810392592786,6.81183704157686,6.82461405133233,"norm",10000
"rcs.3.diff",20,2.60855057645193,2.60613831732256,2.61105528797685,"norm",10000
"x",30,5.00289138477503,4.99998681772616,5.00585017134756,"norm",10000
"x2",30,29.0838884220776,29.050549428367,29.1156760988483,"norm",10000
"x3",30,185.885739274946,185.559290350341,186.204481312975,"norm",10000
"rcs.2.same",30,1.55691615063755,1.55368899659491,1.55991019561338,"norm",10000
