"model","type","alpha","drift","slope","shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p"
"correct","vali_1","0.1","-2","0.5","-2","0.495523030910952","0.747761515455476","-1.12239034717277","-0.600905819799216","-6008.05819799216","1","0.787681461579537","7878.81461579537","0","-1.38858728137875","0.345653189411232","1.97883724372347","0.989147507224442","0.441905251081001","0.440434162971173","0.375437394848015","96.2677072849752","0"
"correct","vali_1","0.1","-2","0.5","-1.5","0.495523030910952","0.747761515455476","-0.404224715208069","-0.259854746077236","-2597.54746077236","1","0.446630387857558","4468.30387857558","0","-0.706485133934794","0.284170729170087","1.48426349011124","0.989147507224438","0.33940033716189","0.338179283342706","0.290803699687768","55.0822201523137","0"
"correct","vali_1","0.1","-2","0.5","-1","0.495523030910952","0.747761515455476","-0.0145559483196376","-0.0107242275838133","-106.242275838133","1","0.197499869364134","1976.99869364134","0","-0.208224096947947","0.234375714223862","0.989689736499029","0.989147507224445","0.23303126540872","0.231251741422927","0.195801631243613","19.4786203611113","1.6671155542138e-84"
"correct","vali_1","0.1","-2","0.5","-0.5","0.495523030910952","0.747761515455476","0.176503126802564","0.13860415462745","1387.0415462745","0","0.0481714871528709","483.714871528709","0","0.0904326674745793","0.203076903817237","0.495115982886806","0.989147507224443","0.121212832881892","0.11950688568179","0.0964386450783559","-0.0179428175287886","0.985684471055378"
"correct","vali_1","0.1","-2","0.5","0.5","0.495523030910952","0.747761515455476","0.17801782540515","0.139881793169017","1399.81793169017","0","0.0468938486113047","470.938486113047","0","0.092987944557712","0.202036710604074","-0.49403152433764","0.989147507224447","0.112847166151215","0.111708116198066","0.0894214031790898","16.7224230776804","8.99849714840898e-63"
"correct","vali_1","0.1","-2","0.5","1","0.495523030910952","0.747761515455476","0.0115546917855738","0.00841475061434703","85.1475061434703","0","0.178360891165975","1785.60891165975","0","-0.169946140551628","0.225054948787363","-0.988605277949863","0.989147507224447","0.229413815277464","0.227130614311255","0.165548541570185","41.680935468464","0"
"correct","vali_1","0.1","-2","0.5","1.5","0.495523030910952","0.747761515455476","-0.290015101291772","-0.193037761231286","-1929.37761231286","1","0.379813403011608","3800.13403011608","0","-0.572851164242894","0.255030948221543","-1.48317903156209","0.98914750722445","0.348783227501042","0.341669613900544","0.226806370202164","70.956277007096","0"
"correct","vali_1","0.1","-2","0.5","2","0.495523030910952","0.747761515455476","-0.772226694300684","-0.44903611845971","-4489.3611845971","1","0.635811760240032","6360.11760240032","0","-1.08484787869974","0.285515215682701","-1.97775278517431","0.989147507224447","0.483215145314024","0.440753741424895","0.27319252447165","102.963351880555","0"
"correct","vali_1","0.1","-2","0.5","0.461936837788113","0.495523030910952","0.747761515455476","0.185949099793508","0.146598554700072","1466.98554700072","0","0.0401770870802493","403.770870802493","0","0.106421467619823","0.200771335292359","-0.45638144231867","0.989147507224444","0.103886974763209","0.102931160656168","0.0830644245460613","15.1097050549409","1.3976392016082e-51"
"correct","vali_1","0.1","-2","0.5","-0.00418496543595932","0.495523030910952","0.747761515455476","0.232500192016123","0.186957568595055","1870.57568595055","0","-0.000181926814733197","0.180731852668032","0.91359681496424","0.187139495409788","0.192923156895754","0.00468177740338336","0.989147507224445","0.014114812095094","0.00935483509244407","0.00505789754547707","0.543490062000338","0.586792431514965"
"correct","vali_2","0.1","-2","0.5","-2","0.457584301731858","0.728792150865929","0.174902147765124","0.126544792974349","1266.44792974349","0","0.00201189823553505","22.1189823553505","1.57370747929653e-05","0.124532894738814","0.167302386654532","0.0173890643992057","0.920854750724707","0.0251277600042437","0.0237522881165013","0.0149254621788231","4.74789959819134","2.05540018920615e-06"
"correct","vali_2","0.1","-2","0.5","-1.5","0.457584301731858","0.728792150865929","0.139915982045261","0.0998958666963337","999.958666963337","0","0.0286608245135509","288.608245135509","0","0.0712350421827829","0.173338816454909","-0.443038310963151","0.920854750724699","0.121547472447635","0.113431943861702","0.0697188602245495","-6.31633172015774","2.67844805331987e-10"
"correct","vali_2","0.1","-2","0.5","-1","0.457584301731858","0.728792150865929","-0.0275647503291638","-0.0186736148102409","-185.736148102409","1","0.147230306020126","1474.30306020126","0","-0.165903920830367","0.198906987134638","-0.903465686325502","0.920854750724698","0.224242334967555","0.22386882211067","0.164954747324714","-1.07115860199087","0.284098122175645"
"correct","vali_2","0.1","-2","0.5","-0.5","0.457584301731858","0.728792150865929","-0.393127679207269","-0.237045232598983","-2369.45232598983","1","0.365601923808868","3658.01923808868","0","-0.60264715640785","0.245308728122237","-1.36389306168785","0.920854750724696","0.330061056432489","0.328321597857652","0.264827464946876","24.1205136259791","1.52308458617656e-128"
"correct","vali_2","0.1","-2","0.5","0.5","0.457584301731858","0.728792150865929","-2.41248056513428","-0.97116759405742","-9710.6759405742","1","1.0997242852673","10999.242852673","0","-2.07089187932472","0.383984942019634","-2.28474781241253","0.920854750724689","0.519785236183254","0.518161197760261","0.452222141697273","109.831113869146","0"
"correct","vali_2","0.1","-2","0.5","1","0.457584301731858","0.728792150865929","-4.92601962835649","-1.47033463661209","-14702.3463661209","1","1.59889132782198","15990.9132782198","0","-3.06922596443407","0.461119427349277","-2.74517518777489","0.920854750724694","0.601203320680515","0.598741803512402","0.529097533018495","157.54811878078","0"
"correct","vali_2","0.1","-2","0.5","1.5","0.457584301731858","0.728792150865929","-9.83055159962509","-2.03948714845771","-20393.8714845772","1","2.1680438396676","21682.438396676","0","-4.20753098812532","0.532916760178394","-3.20560256313723","0.920854750724692","0.672210041148065","0.669652664571256","0.590946978158925","205.893109011818","0"
"correct","vali_2","0.1","-2","0.5","2","0.457584301731858","0.728792150865929","-19.6150427276481","-2.66318550568615","-26630.8550568615","1","2.79174219689603","27919.4219689603","0","-5.45492770258218","0.593888574493574","-3.6660299384996","0.920854750724698","0.732000022418703","0.730211908636923","0.637747777978584","257.334006035633","0"
"correct","vali_2","0.1","-2","0.5","-1.10922895039298","0.457584301731858","0.728792150865929","0.0228654727895173","0.0155733193226051","156.733193226051","0","0.11298337188728","1131.8337188728","0","-0.0974100525646745","0.191515605286531","-0.802881688439458","0.920854750724699","0.201133960344997","0.200813304402717","0.143525540380089","-3.94854496617542","7.86276480943657e-05"
"correct","vali_2","0.1","-2","0.5","-1.90517059911215","0.457584301731858","0.728792150865929","0.176786130357351","0.128000171078321","1281.00171078321","0","0.000556520131563411","7.56520131563411","0.0227634145271056","0.127443650946758","0.167149245059648","-0.0699350399167509","0.920854750724705","0.031797954686576","0.0160999579984204","0.00953146707346618","1.79079825624827","0.0733256752012962"
"correct","vali_3","0.1","-2","0.5","-2","0.273364604983768","0.636682302491884","-0.0422539057661591","-0.0253444796442414","-252.444796442414","1","0.0578545418173177","580.545418173177","0","-0.0831990214615591","0.152314568044621","-0.940044934023925","0.495909902398438","0.457118769422704","0.197231718186642","0.0828467943197926","-2.94302332237792","0.00325023931483508"
"correct","vali_3","0.1","-2","0.5","-1.5","0.273364604983768","0.636682302491884","-0.235846507026575","-0.133493405922256","-1333.93405922256","1","0.166003468095333","1662.03468095333","0","-0.299496874017589","0.177293288819164","-1.18799988522314","0.495909902398436","0.521346321972391","0.320265846016062","0.155836370490674","-4.12563708504002","3.69709881958722e-05"
"correct","vali_3","0.1","-2","0.5","-1","0.273364604983768","0.636682302491884","-0.65414723802973","-0.333562887428832","-3334.62887428832","1","0.366072949601911","3662.72949601911","0","-0.699635837030743","0.221621524997604","-1.43595483641709","0.495909902389992","0.570346813124331","0.431909545118729","0.248357266904601","12.0891313390256","1.20554590091112e-33"
"correct","vali_3","0.1","-2","0.5","-0.5","0.273364604983768","0.636682302491884","-1.4608357594514","-0.633434505217563","-6333.34505217563","1","0.665944567390642","6661.44567390642","0","-1.2993790726082","0.284877349037767","-1.68390978761209","0.495909902389993","0.606132906493912","0.522945987109566","0.348921913396071","46.7367621119842","0"
"correct","vali_3","0.1","-2","0.5","0.5","0.273364604983768","0.636682302491884","-5.98342924000511","-1.53055686667601","-15304.5686667601","1","1.56306692884909","15632.6692884909","0","-3.0936237955251","0.447554886969493","-2.17981969000207","0.495909902389985","0.648611063847409","0.638689725898058","0.537857882317129","142.36187441525","0"
"correct","vali_3","0.1","-2","0.5","1","0.273364604983768","0.636682302491884","-11.9948599960763","-2.11122390923068","-21111.2390923068","1","2.14373397140376","21439.3397140376","0","-4.25495788063444","0.53170366473492","-2.42777464119707","0.495909902389987","0.681701717277925","0.680485557410437","0.615183441374563","192.192876950007","0"
"correct","vali_3","0.1","-2","0.5","1.5","0.273364604983768","0.636682302491884","-24.5068679518705","-2.76187642107629","-27617.7642107629","1","2.79438648324937","27945.8648324937","0","-5.55626290432565","0.607972527055194","-2.67572959239205","0.495909902389981","0.733789213016269","0.731853710850866","0.677288809206061","242.338969038715","0"
"correct","vali_3","0.1","-2","0.5","2","0.273364604983768","0.636682302491884","-51.3008086307392","-3.46707477830473","-34669.7477830473","1","3.49958484047781","34997.8484047781","0","-6.96665961878254","0.671644359267895","-2.92368454361767","0.495909902398436","0.77628036313954","0.773432948116225","0.724222823800081","296.258287323223","0"
"correct","vali_3","0.1","-2","0.5","-1.59474708966417","0.273364604983768","0.636682302491884","-0.18514701215556","-0.106281429681674","-1061.81429681674","1","0.138791491854751","1389.91491854751","0","-0.245072921536424","0.171132876661767","-1.14101386523526","0.49590990239843","0.510380388066752","0.29742897003861","0.14012957601798","-5.045996633828","4.51163349372628e-07"
"correct","vali_3","0.1","-2","0.5","-2.46187740602703","0.273364604983768","0.636682302491884","0.00708186522507206","0.00419410482153453","42.9410482153453","5.64144286840929e-11","0.0283159573515417","285.159573515417","0","-0.0241218525300072","0.143461807896682","-0.71099535468101","0.495909902398441","0.384193620355732","0.0853035994393768","0.0456060532723452","7.31650002049692","2.54521984435492e-13"
"incorrect","vali_1","0.1","-2","0.5","-2","0.495523372135225","0.747761686067613","-1.27612033521032","-0.660926290818968","-6608.26290818968","1","0.844039984394212","8442.39984394212","0","-1.50496627521318","0.360951982322866","2.11026651967568","1.0489914879851","0.467182666757698","0.466480309115118","0.395614498587833","102.125264775334","0"
"incorrect","vali_1","0.1","-2","0.5","-1.5","0.495523372135225","0.747761686067613","-0.480269458639499","-0.301989788603926","-3018.89788603926","1","0.48510348217917","4853.0348217917","0","-0.787093270783096","0.294528784123205","1.58577077568312","1.04899148798508","0.351092864233397","0.350228947538383","0.310315101907822","61.2449225843764","0"
"incorrect","vali_1","0.1","-2","0.5","-1","0.495523372135225","0.747761686067613","-0.0509001069928003","-0.0367688880557616","-366.688880557616","1","0.219882581631005","2200.82581631005","0","-0.256651469686767","0.239570604740921","1.06127503169057","1.04899148798508","0.229303609159784","0.228769820806965","0.212526169088362","20.4230580815104","1.04324771013919e-92"
"incorrect","vali_1","0.1","-2","0.5","-0.5","0.495523372135225","0.747761686067613","0.160609134532398","0.125295193350128","1253.95193350128","0","0.0578185002251154","580.185002251153","0","0.0674766931250126","0.204851258580742","0.536779287698031","1.04899148798508","0.130066274220415","0.120261029834565","0.109337622735179","-3.50813716143275","0.000451256326691772"
"incorrect","vali_1","0.1","-2","0.5","0.5","0.495523372135225","0.747761686067613","0.180617634489939","0.142078527965956","1421.78527965956","0","0.0410351656092867","412.351656092867","0","0.101043362356669","0.202370712958604","-0.512212200287047","1.04899148798508","0.128821748007895","0.127567208835532","0.0828696093953037","14.840263826737","8.04389843758577e-50"
"incorrect","vali_1","0.1","-2","0.5","1","0.495523372135225","0.747761686067613","0.0211698611682491","0.0155559398172287","156.559398172287","0","0.167557753758014","1677.57753758014","0","-0.152001813940785","0.225054429412183","-1.03670794427958","1.04899148798507","0.244075943034405","0.237954594163717","0.159608423307903","39.3519062166985","0"
"incorrect","vali_1","0.1","-2","0.5","1.5","0.495523372135225","0.747761686067613","-0.270960247193341","-0.181442106417649","-1813.42106417649","1","0.364555799992891","3647.55799992891","0","-0.54599790641054","0.254065547431689","-1.5612036882721","1.04899148798507","0.350427368177477","0.339505569343191","0.221310778540214","68.2167227167596","0"
"incorrect","vali_1","0.1","-2","0.5","2","0.495523372135225","0.747761686067613","-0.738586798510767","-0.433154521584143","-4330.54521584143","1","0.616268215159386","6164.68215159386","0","-1.04942273674353","0.283348726803603","-2.08569943226468","1.04899148798508","0.444223411018878","0.431254421729689","0.268011745264937","100.663522056086","0"
"incorrect","vali_1","0.1","-2","0.5","0.461936837788113","0.495523372135225","0.747761686067613","0.188038417426849","0.148375469325241","1484.75469325241","0","0.0347382242500014","349.382242500014","0","0.11363724507524","0.201111383004577","-0.472284267120983","1.04899148798508","0.119875432404854","0.118860524809284","0.0765754383784981","13.2190903323979","6.80823386040281e-40"
"incorrect","vali_1","0.1","-2","0.5","0.0342791392601947","0.495523372135225","0.747761686067613","0.22801206447442","0.182994711816812","1830.94711816812","0","0.000118981758431255","3.18981758431255","0.202927036195913","0.182875730058381","0.193451179855328","-0.0236749815939086","1.04899148798508","0.0745441050468426","0.0355627859452424","0.0187030188143192","-1.32216705487053","0.186112528931187"
"incorrect","vali_2","0.1","-2","0.5","-2","0.457584301731858","0.728792150865929","0.166138321300253","0.119802434791958","1199.02434791958","0","0.00723655498930366","74.3655498930366","1.11022302462516e-16","0.112565879802654","0.168967515366156","0.294149741852151","1.08382737012639","0.20058202344233","0.0793893858049977","0.0348428457930334","5.92083127594003","3.20318359085753e-09"
"incorrect","vali_2","0.1","-2","0.5","-1.5","0.457584301731858","0.728792150865929","0.154658713486104","0.111038937006994","1111.38937006994","0","0.0160000527742674","162.000527742674","0","0.0950388842327267","0.17053811487484","-0.247763943211043","1.08382737012639","0.0754712453361642","0.0743689269792569","0.0507696656152882","-10.3399872282313","4.64599444951617e-25"
"incorrect","vali_2","0.1","-2","0.5","-1","0.457584301731858","0.728792150865929","0.0126779437141447","0.00855983755515772","86.5983755515772","0","0.118479152226104","1186.79152226104","0","-0.109919314670946","0.193088111947861","-0.789677628274238","1.08382737012639","0.193578527761312","0.192133876955833","0.14886999258517","-9.3653608665107","7.57908502515717e-21"
"incorrect","vali_2","0.1","-2","0.5","-0.5","0.457584301731858","0.728792150865929","-0.320115244628346","-0.197076081038956","-1969.76081038956","1","0.324115070820218","3243.15070820218","0","-0.521191151859174","0.239109042345632","-1.33159131333743","1.08382737012639","0.31295938687784","0.31101331407064","0.252724547204966","17.5871747692135","3.08899149328632e-69"
"incorrect","vali_2","0.1","-2","0.5","0.5","0.457584301731858","0.728792150865929","-2.20294725717463","-0.915692746423127","-9155.92746423127","1","1.04273173620439","10429.3173620439","0","-1.95842448262752","0.381296706857888","-2.41541868346384","1.0838273701264","0.523320957926961","0.52124586669143","0.44607156749071","102.779234744835","0"
"incorrect","vali_2","0.1","-2","0.5","1","0.457584301731858","0.728792150865929","-4.5509992724765","-1.40991533457184","-14098.1533457184","1","1.5369543243531","15371.543243531","0","-2.94686965892494","0.459220661653094","-2.95733236852704","1.0838273701264","0.610382391591894","0.607400287032275","0.524001885414316","148.980284790883","0"
