"shift","Dxy","C (ROC)","R2","D","D:Chi-sq","D:p","U","U:Chi-sq","U:p","Q","Brier","Intercept","Slope","Emax","E90","Eavg","S:z","S:p","type_shift","model","alpha","drift","slope","ncase.dev","ncase.ext"
-2.46421537186585,0.247395937135999,0.623697968567999,-0.0111045942584302,-0.00679233993189955,-66.9233993189955,1,0.034054315648266,342.54315648266,0,-0.0408466555801655,0.145622431006407,-0.77996468617772,0.452076174745182,0.431624114950043,0.107611495959597,0.0542389578544,8.43892954457726,3.20257054565696e-17,"optimal","correct",0.1,-2,0.5,5119,1752
-2,0.247395937135999,0.623697968567999,-0.00997118744400623,-0.00611132509073032,-60.1132509073032,1,0.0340034815762885,342.034815762885,0,-0.0401148066670188,0.147502549890425,-0.85792339882725,0.522937093953268,0.32474128921369,0.147593217556593,0.0628301100085325,-4.83537664239323,1.32893766644053e-06,"other","incorrect",0.1,-2,0.5,5119,1752
-1.5,0.247395937135999,0.623697968567999,-0.167677312461673,-0.0966748228756947,-965.748228756947,1,0.124566979361253,1247.66979361253,0,-0.221241802236948,0.168544962823167,-1.11939194580389,0.522937093953262,0.436042173501425,0.270904544717778,0.138622990222848,-11.4907158332682,1.46889661996738e-30,"other","incorrect",0.1,-2,0.5,5119,1752
-1,0.247395937135999,0.623697968567999,-0.536246216817582,-0.280953922327532,-2808.53922327532,1,0.30884607881309,3090.4607881309,0,-0.589800001140622,0.210929458232531,-1.38086049278052,0.522937093953262,0.522602950872096,0.390864000276489,0.235226214301761,2.06830944223412,0.0386109344463264,"other","incorrect",0.1,-2,0.5,5119,1752
-0.5,0.247395937135999,0.623697968567999,-1.26552730529611,-0.568389840921649,-5682.89840921649,1,0.596281997407207,5964.81997407207,0,-1.16467183832886,0.27504101859215,-1.64232903975715,0.52293709395326,0.585332509101903,0.494902108902902,0.339373727071578,39.7134235775705,0,"other","incorrect",0.1,-2,0.5,5119,1752
0,0.247395937135999,0.623697968567999,-2.66673498939072,-0.960421072154524,-9603.21072154524,1,0.988313228640083,9885.13228640083,0,-1.94873430079461,0.355472090142713,-1.90379758673378,0.52293709395326,0.628445655546474,0.57639937414877,0.441362354886871,86.1395288412302,0,"no","incorrect",0.1,-2,0.5,5119,1752
0.5,0.247395937135999,0.623697968567999,-5.39995755792158,-1.45060650630582,-14505.0650630582,1,1.47849866279137,14786.9866279137,0,-2.92910516909719,0.443164117172322,-2.1652661337104,0.522937093953252,0.656961750855706,0.635255448487733,0.533687642104537,133.185975978204,0,"other","incorrect",0.1,-2,0.5,5119,1752
1,0.247395937135999,0.623697968567999,-10.8944365021836,-2.02662909445453,-20265.2909445453,1,2.05452125094009,20547.2125094009,0,-4.08115034539462,0.528725034337754,-2.42673468068703,0.522937093953255,0.675644405253701,0.675299925962689,0.611824588847869,181.51978294276,0,"other","incorrect",0.1,-2,0.5,5119,1752
1.5,0.247395937135999,0.623697968567999,-22.2987886658233,-2.67312714068943,-26730.2714068943,1,2.70101929717499,27012.1929717499,0,-5.37414643786442,0.604982121850229,-2.68820322766371,0.522937093953276,0.719029713466994,0.718611206095798,0.674111094341163,233.417889827801,0,"other","incorrect",0.1,-2,0.5,5119,1752
2,0.247395937135999,0.623697968567999,-46.6392584217158,-3.3743395558559,-33742.395558559,1,3.40223171234146,34024.3171234146,0,-6.77657126819736,0.668012821886753,-2.94967177464028,0.522937093953252,0.761686632417509,0.759451440134968,0.721192541797184,291.495796451032,0,"other","incorrect",0.1,-2,0.5,5119,1752
